id,username,text,text_clean,label
700,Awan Andy,"Coba jadi pahlawan untuk diri sendiri jaga kesehatan mu .. Jgn ke tempat yang ramai, keramas dulu cuci tangan sesering mungkin.. ",coba jadi pahlawan diri sendiri jaga sehat jangan tempat ramai keramas dulu cuci tangan sering mungkin,positif
701,Awan Andy, lockdown itu merusak pendapatan usah kecil pak atau bertambah besar dalam ekonomi... Liat malaysia lockdown mereka memborong semua di supermarket.. Kasihan wong kecil yg gak punya uang bingung,lockdown rusak dapat perlu kecil pak tambah besar ekonomi lihat malaysia lockdown borong semua supermarket kasihan orang kecil tidak punya uang bingung,negatif
702,Yt Opowae,Maksudnya kalau lockdown itu pabrik2 besar juga di berhentikan jg kah.. karyawan di liburkan jg.. akses2 jg di tutup atau gmn.. ada yg bisa jelasin,maksud lockdown pabrik besar henti karyawan libur akses tutup bagaimana ada bisa jelasin,netral
703,Robayani Burhan,Indonesia Wajib lockdown. krn skr masih banyak ortu ngajak  anak2 nya yg pd liburan sekolah keluar rumah/ jalan2 ke mana2 aja.,indonesia wajib lockdown sekarang masih banyak orang tua ajak anak libur sekolah keluar rumah jalan mana,positif
704,agung setiadi,intinya kita banyak ketularan dari malaysia.. ..tutup akses dari malaysia,inti banyak tular malaysia tutup akses malaysia,netral
705,Hadeuh,"Karena koruptor2 yg dari dulu selalu meraup uang negara, tdk digunakan utk kepentingan negara tp utk kantong sendiri menyebabkan kesulitan saat genting seperti ini. Semua fasilitas seperti rumah sakit, teknologi, produksi dll menjadi hambatan bsr...",koruptor dulu selalu raup uang negara tidak guna penting negara kantong sendiri sebab sulit saat genting seperti semua fasilitas seperti rumah sakit teknologi produksi jadi hambat besar,positif
706,ciasisss,"jangan paksa kami untuk lockdown, kami butuh makan",jangan paksa lockdown butuh makan,negatif
707,delpin pilo,"Udh tutup aj kasusnya, cuma flu doang",sudah tutup kasus cuma flu,negatif
708,Team Rocket,"Coba pikirkan akibat lockdown , mendingan bantu pemerintah kurangin penularan jgn keluyuran terus klo ga penting2 , biar ga nambah terus penularan , dan yg dirawat pelan2 pada sembuh , biar cpt selesai",coba pikir akibat lockdown mending bantu pemerintah kurang tular jangan keluyur tidak penting biar tidak nambah tular rawat pelan sembuh biar cepat selesai,positif
709,Randy Ref,Gmna ga meningkat Keterangan MENLU ada daftar 8 negara yg dilarang masuk ke sini tpi kenapa cina tdk masuk dftar. Bikin aturan tdk tegas. karyawan diliburkan 2 pekan Kenyataan nya cma pns yg diliburkan swasta masuk semua.,bagaimana tidak tingkat terang menteri luar negeri ada daftar negara larang masuk sini cina tidak masuk daftar bikin atur tidak tegas karyawan libur pekan nyata cuma pegawai negeri sipil libur swasta masuk semua,negatif
710,Raja Azrul,malaysia sudah mulai lockdown,malaysia sudah mulai lockdown,netral
711,Rahma Wati,Bekerja dri rumah.. Yg kuli gmn y .. Yg cri mkn skrg d buat mkn sekrg.. Semoga segera berlalu,kerja rumah kuli bagaimana cari makan sekarang buat makan sekarang moga segera lalu,netral
712,rozi hanafi,Bekerja dari rumah... beribadah dari rumah... .itu namanya lockdown pak......,kerja rumah ibadah rumah nama lockdown pak,netral
713,rozi hanafi,"memang rakyat indonesia ini yang pada nakal, Dasar pada udik... malah liburan berduyun2 ke Puncak, Bogor dan Bandung. Mau Tuhan yang langsung jadi presiden Indonesia juga gak bakalan sehat Indonesia kalau penduduknya masih banyak yg tolol kyk gitu.",rakyat indonesia nakal dasar udik malah libur duyun puncak bogor bandung mau tuhan langsung jadi presiden indonesia tidak bakal sehat indonesia duduk masih banyak tolol seperti gitu,positif
714,achmad ardiansyah,Giliran udah kena  Banyak.... baru di Lockdown ( sekolah libur )!!! Lucu nya Negeri ini,gilir udah kena banyak baru lockdown sekolah libur lucu negeri,negatif
715,Ifa's Kitchen,"Terkadang heran karena masih ada yang salahkan pemerintah/ presiden nya yg ini lah itulah
Padahal pemerintahan udah melakukan yg terbaik ,,karena pemerintah tau mereka gk boleh asal lockdown ,,jdi untuk masyarakat indo harus tau kalau pemerintah gk lockdown bukan karena mentingin diri sendiri. pemerintah bukan cuma mikirin satu orang aj ..tpi berjuta2 orang,, karena memang covid-19 udah pandemik, bukan cuma negara indo aja yang kena ,banyak negara2 lain juga",terkadang heran masih ada salah pemerintah presiden itu pemerintah udah laku baik pemerintah tahu tidak boleh asal lockdown jadi masyarakat indonesia harus tahu pemerintah tidak lockdown bukan penting diri sendiri pemerintah bukan cuma pikir satu orang juta orang covid udah pandemi bukan cuma negara indonesia kena banyak negara,positif
716,Jay zaenul,Lockdown jakarta,lockdown jakarta,netral
717,rezha firmansyah,Negara lain lockdown semenjak isu covid 19 wuhan negara indo malah penerbangan diskon hotel diskon resto discount alhasil yg begini ada yg lolos dari pengawasan jadi ujung nya menyebar covid 19 di negara +62,negara lockdown semenjak isu covid wuhan negara indonesia malah terbang diskon hotel diskon restoran diskon alhasil begini ada lolos awas jadi ujung sebar covid negara,negatif
718,Abercio muttaqi,Semoga Pemerintah benar2 serius dan Cepat menangani penyebaran nya ,moga pemerintah benar serius cepat tangan sebar,positif
719,Abercio muttaqi,"Jika dibiarkan seperti ini, niscaya Indonesia akan Lebih parah!! Sekolah di Liburkan tapi malah pada Liburan dan jalan2 masyarakat nya. Dan seharus buruh Di Liburkan juga. Tidak bisa membayangkan jika negara kita lebih parah dari cina dan italia, karna Rumah sakit di Negara ini tdk siap dan sangat terbatas Peralatan nya.",biar seperti niscaya indonesia lebih parah sekolah libur malah libur jalan masyarakat harus buruh libur tidak bisa bayang negara lebih parah cina italia rumah sakit negara tidak siap batas alat,negatif
720,maung bandung,Udah banyak yang mati baru lockdown . Pemerintahan lemah,udah banyak mati baru lockdown pemerintah lemah,negatif
721,black moon,"klo ngga lockdown dr awal, pasien bisa tambah bnyak melebihi tenaga medis. tenaga medis smakin menyusut karena tertular ngga bisa kerja. klo smpe pasien lebih bnyak dr tenaga medis. baru lockdown itu sudah telat .INDONESIA berakhir",tidak lockdown awal pasien bisa tambah banyak lebih tenaga medis tenaga medis makin susut tular tidak bisa kerja sampai pasien lebih banyak tenaga medis baru lockdown sudah telat indonesia akhir,negatif
722,Risma yani,Daerah kami gak pernah d periksa gak ada alatnya,daerah tidak pernah periksa tidak ada alat,netral
723,sbobet lagi,"sebentar lagi puasa, semoga segera berakhir ini covid 19",sebentar puasa moga segera akhir covid,netral
724,m Muhshi,"Tolong dibedain Lockdown sama di Liburan sekolah/ kantor, lockdown itu ya kita tinggal dirumah atau disuatu daerah gk boleh keluar atau masuk, biasanya nanti dikasih kepemimpinan ke militer kalau rakyat masih nakal, kalau sekarang kita masih diliburkan maklum orang pada kemana mana.",tolong beda lockdown sama libur sekolah kantor lockdown tinggal rumah daerah tidak boleh keluar masuk biasa nanti beri pimpin militer rakyat masih nakal sekarang masih libur maklum orang mana mana,netral
725,king exe,Bandara internasional yg ditutup.. Sementara buat ngurangin.. Ayo pemerintah semangat dana cepat kerjanya,bandara internasional tutup sementara buat kurang pemerintah semangat dana cepat kerja,positif
726,novila Ifana,"Tuh bener saya tinggal di japan juga langkah* pemerintahannya kyk pak. jokowi saya udah 2 bln ngga keluar .  Sekedar belanja aja takut ,  trus di sini jg setiap rumah di wajibkan punya disinfeksi alkohol, sering* cuci tangan apalgi kalo abis dr luar. mencegah lebih baik trus ada yg minta lockdown*  Tp masih keluyuran sana* sini..  Duh duh please think about your selft and other.",benar tinggal jepang langkah pemerintah seperti pak jokowi udah bulan tidak keluar dar belanja takut sini tiap rumah wajib punya disinfeksi alkohol sering cuci tangan habis luar cegah lebih baik ada minta lockdown masih keluyur sana sini duh duh tolong pikir diri sendiri orang,positif
727,Dams YT,isolasi daerah yg terdampak bukannya lockdown. Dipikir emang indonesia dari sabang ke merauke satu daratan?,isolasi daerah dampak bukan lockdown pikir indonesia sabang merauke satu darat,negatif
728,LNK.kepong kepong,Apa kah saya juga kena inveksi yah. Gejala yang saya alami saat ini radang tenggorokan demam rendah.,kena infeksi gejala alami saat radang tenggorok demam rendah,netral
729,World Peace,"Semuanya itu tergantung kesadaran individu, klo MEREKA SEMUA BISA jaga jarak, minimalisir kontak dengan orang lain, rajin cuci tangan, pake masker, dan stay di dalem rumah, penyebaran COVID bisa diminimalisir tanpa lockdown.",semua gantung sadar individu semua bisa jaga jarak minimal kontak orang rajin cuci tangan pakai masker tetap rumah sebar covid bisa rang tanpa lockdown,positif
730,kaluq,"Kalau Jakarta lockdown, warga Jakarta mau dapat bahan makanan dari mana? Sedangkan sumber bahan makanan Jakarta datang dari Jawa Barat.",jakarta lockdown warga jakarta mau dapat bahan makan mana sedang sumber bahan makan jakarta datang jawa barat,netral
731,Anugerah Dewa,"Tunggu yg kena sdh ribuan baru di lockdown, bapak tidak ada ketegasannya sebagai presiden, gak inisiatif",tunggu kena sudah ribu baru lockdown bapak tidak ada tegas bagai presiden tidak inisiatif,negatif
732,Andrean Regas,"pak pak.. Kalau lockdown keluarga saya mau makan apa, bisa bisa kami mati bukan karena covid tapi karena kelaparan",pak pak lockdown keluarga mau makan bisa bisa mati bukan covid lapar,negatif
733,rojih Rojih,"Makin bahaya aja korona semakin hari semakin bayak yg terinfeksi, kasihan",makin bahaya corona makin hari makin banyak infeksi kasihan,netral
734,Ridho Virgatama,"Indonesia gk akan siap menurut gw klw sampe lockdown, klw pemerintah siap utk suplai logistik kebutuhan",indonesia tidak siap turut sampai lockdown pemerintah siap suplai logistik butuh,negatif
735,Zerico Co,"Sampai kpn ya ga kasihan rakyat nya, haRi ini malaysia sdh lockdown",sampai tidak kasihan rakyat hari malaysia sudah lockdown,negatif
736,Cahaya Baru,"Jangan hanya meningkatkan kapasitas rumah sakit, Tapi bagi Kami Rakyat Kecil gmn, Masker sekarang dimana2 kosong, bagaimana Kami mencegahnya... apakah di indonesia ingin pemecah rekor??
Selagi Covid19 belum tersebar luas kenapa tidak di adakan masker... apakah harus tunggu semua tertular virus baru di sediakan masker???  
Kenapa tidak dari sekarang aja",jangan hanya tingkat kapasitas rumah sakit bagi rakyat kecil bagaimana masker sekarang kosong bagaimana cegah indonesia ingin pecah rekor selagi covid belum sebar luas tidak adakan masker harus tunggu semua tular virus baru sedia masker tidak sekarang,negatif
737,Frisca Balqis'tya,"Sebenernya kuncinya itu peduli, coba buat peduli dan Memang hidup mati manusia di tangan Tuhan, tapi tetep harus ada ikhtiar.",benar kunci peduli coba buat peduli hidup mati manusia tangan tuhan tetap harus ada ikhtiar,positif
738,Frisca Balqis'tya,"covid ini bukan tentang diri sendiri, ini menular.
Jangan sampai kaya kasus di Italia yg awalnya menyepelekan dan sudah terlanjur banyak sudah terlanjur susah ditanggani.
",covid bukan diri sendiri tular jangan sampai kaya kasus italia awal sepele sudah lanjur banyak sudah lanjur susah tanggulang,positif
739,Frisca Balqis'tya,"Ayolah kita kerja sama, saling mendukung, bukan berbondong - bondong patuhi pemerintah.
Saling peduli dan mendoakan supaya kita sehat selalu dan tidak merugikan org lain.
Berdoa supaya Indonesia bisa menangani hal ini. Karena pemerintah ga akan bisa bekerja maksimal kalo ga ada kerja sama dari warganya.",kerja sama saling dukung bukan bondong bondong patuh pemerintah saling peduli doa supaya sehat selalu tidak rugi orang doa supaya indonesia bisa tangan pemerintah tidak bisa kerja maksimal tidak ada kerja sama warga,positif
740,Frisca Balqis'tya,"Semoga Indonesia senantiasa dilindungi dari masalah ini, ",moga indonesia senantiasa lindung masalah,netral
741,Mugiwara,INI YG KENA VIRUS CORONA SENGAJA NULARIN KE ORG2!!!,kena virus corona sengaja tular orang,netral
742,Mai Puspa,"Baik kalau belum Lockdown, tetapi apa upaya pemerintah utk mengatasi masyarakat yg bandel2 ini????!! ",baik belum lockdown upaya pemerintah atas masyarakat bandel,netral
743,Mai Puspa, Mana menteri pertahanan dan bos2 nya militer kita untuk gebrakin masyarakat yg bandel ini. ,mana menteri tahan militer gebrak masyarakat bandel,positif
744,Mai Puspa,"bagaimana dgn pedagang2 yg malah ambil keuntungan menaikkan harga seenaknya utk bahan makanan, masker, hand sanitizer, dll?? Harusnya dari yg kecil2 seperti ini juga harus diperhatikan, krna memang masyarakat blm siap utk lockdown terutama utk kelas menengah kebawah.",bagaimana dagang malah ambil untung naik harga enak bahan makan masker bersih tangan harus kecil seperti harus perhati masyarakat belum siap lockdown utama kelas tengah bawah,negatif
745,Anwar Anwar,"Ekonomi sudah begitu sulit malah di kasih aturan lockdown, mikir dong pemerintah, bagi yg cari uang 1 hari utk makan 1 hari gimana rasanya,. apa pemerintah mau tanggung biaya hidup.",ekonomi sudah sulit malah kasih atur lockdown mikir pemerintah bagi cari uang hari makan hari gimana rasa pemerintah mau tanggung biaya hidup,negatif
746,gma,buat batasan keluar rumah dengan task force kali ya... ini bos2 pada nggak tanggap sama himbauan kerja dari rumah... huhu,buat batas keluar rumah tugas gugus sekali tidak tanggap sama himbauan kerja rumah,positif
747,Ahmad Zaelani,"Gak apa2 rakyat mati yang penting ekonomi kita maju, sayang juga udah keluar duit buat bayar influencer 20 m ",tidak rakyat mati penting ekonomi maju sayang udah keluar uang buat bayar artis,negatif
748,Arum Sabil,"tidak perlu lockdown, kami lebih butuh makan untuk hidup",tidak perlu lockdown lebih butuh makan hidup,negatif
749,feri zonet,"jangan pikir ekonomi terus pikir kesehatan anda,  klo kena virus corona siapa yg rugi diri anda dan keluarga anda , harusnya ada tabungan sejak dini klo skrng siapa yg rugi",jangan pikir ekonomi pikir sehat kena virus corona siapa rugi diri keluarga harus ada tabung sejak dini sekarang siapa rugi,netral
750,Saifuddin Juhdi,"Tunggu kena satu pulau baru di lockdown ya pak ,,",tunggu kena satu pulau baru lockdown pak,negatif
751,audy nainggolan,Lockdown.. adakah media yg bisa menjelaskan secara rinci apa arti secara bahasa awamnya.. Lalu bagaimana kebijakan untuk masyarakat kelas menengah ke bawah.. ,lockdown ada media bisa jelas cara rinci arti cara bahasa umum lalu bagaimana bijak masyarakat kelas tengah bawah,netral
752,audy nainggolan,siapa yg menjamin ekonomi keuangan dan kecukupan makanannya.. sementara pemda sekelas kelurahan aja masa bodoh sama warga nya,siapa jamin ekonomi uang cukup makan sementara pemerintah daerah kelas lurah masa bodoh sama warga,negatif
753,F L66,Yg koment  lockdown.. coba aja lockdown rumah sendiri 1 minggu dulu baru  koment.....,komentar lockdown coba lockdown rumah sendiri minggu dulu baru komentar,negatif
754,Farel Radinka,"jangan mau lockdown, mati kelaparan ntar kalian",jangan mau lockdown mati lapar nanti,negatif
755,Herman Sule,makan tuh kesombongan dari awal ngelak selalu menutup nutupi rakyat kecil semakin menjerit,makan sombong awal ngelak selalu tutup nutupi rakyat kecil makin jerit,negatif
756,Siswandi Siswandi,"Saya gak pernah dapat bantuan covid 19
Kami rakyat kecil 
Dari desa bektiharjo Kec semanding kab TUBAN jatim 
Tolong kami pak presidenku 
Semenjak covid gk pernah dapat bantuan",tidak pernah dapat bantu covid rakyat kecil desa bektiharj camat semanding kabupaten tuban jatim tolong pak presiden semenjak covid tidak pernah dapat bantu,negatif
757,Heru Udin,"Selama 2021 d tmpt sy udh gk ada bst,,, gmn nih????",lama tempat sudah tidak ada bst bagaimana,netral
758,anak ranca paniisan,"Ia benar bnyk penerima pkh
Yang GX layak",ia benar banyak terima program keluarga harap tidak layak,negatif
759,Istiyah Hariyanto,"pk minko tlg tlg, kmn kerja bagian penyaluran dana bagi pasien mninggal covid, ahli waris sampek skrg udh hampir 1 thn lebih, dari romadhan tahn kmrin sampek skrg gk da dana santunan bles yg cair pak, tlg gmn ni yg paling penting dan harus d utamakan ini yg pasien mninggal covid, bagi ahli waris yg d tinggalkannya, malah bansos desa yg lancar itu cm sunnah pak, tlg lah monitor k bwahannya, mulai pengajuan yg 15 jt, sampek turun 5 jt, sampek skrg blm da nampaknyA bles kpd ahli waris, ni dari probolinggo, tlglah bantuannya yg seleftif",pak meter ekonomi tolong tolong kmn kerja bagi salur dana bagi pasien tinggal covid ahli waris sampai sekarang sudah hampir tahun lebih ramadan tahun sampai sekarang tidak ada dana santun sama sekali alir pak tolong bagaimana paling penting harus utama pasien tinggal covid bagi ahli waris tinggal malah bantu sosial desa lancar cuma sunah pak tolong monitor bawah mulai aju juta sampai turun juta sampai sekarang belum ada lihat sama sekali kepada ahli waris probolinggo tolong bantu selektif,negatif
760,Fitri Yani,"Aku yang susah banget tidak pernah dapat yang kaya dapat terus, pemerintah gak adil dan tegas ",susah tidak pernah dapat kaya dapat pemerintah tidak adil tegas,negatif
761,Nobilta Nih,Saya mau usul kenapa pedagang di bantu  namanya orang dagang kan mampu kenapa di bantu itu salah besar kan orang dagang orang kaya tidak mudeng,mau usul dagang bantu nama orang dagang mampu bantu salah besar orang dagang orang kaya tidak paham,negatif
762,Wiji Ati,"Mas aiman, bagaimana sih caranya memprotes bst 300rb, sebab banyak yg salah sasaran. ada janda bulan januari februari2021 dapat, setelah pencarian untuk bulan maret april namanya dicoret.",aiman bagaimana cara protes bst ribu sebab banyak salah sasar ada janda bulan januari februari dapat telah cari bulan maret april nama coret,negatif
763,Banyu Milih,"Bentuk tim buser pk ,jngan cma mngandalkan informasi atau yg saya denger, jangan planga plongo aja kerjanya",bentuk tim buser pak jangan cuma andal informasi dengar jangan planga plongo kerja,negatif
764,Taufik 877,BST  Yg benar cuma 2 bulan ( januari & februari ).?b,bst benar cuma bulan januari februari,netral
765,Salon Reni salon,Bantuan tunai tiga ratus ribu.. Perbulan.  Apakah ada pengurangan anggota penerima. Kelompok kami ada yg tidak menerima. Mohon penjelasan nya bagi yg tida dapat yg dua buln sebelum bulan puasa,bantu tunai tiga ratus ribu bulan ada kurang anggota terima kelompok ada tidak terima mohon jelas bagi tidak dapat dua bulan belum bulan puasa,negatif
766,Firman Man,Saya ko ga lanjut dapet bst yang 300,tidak lanjut dapat bst,netral
767,Ulumi Nauma,Maaf yang bst 300ribu apa bener itu d. kurangin kenapa sya kemarin gx dpet lg kata nya ada pengurangan,bst ribu benar kurang tidak dapat kata ada kurang,netral
768,Dandelion,Benar setuju...  Usut segera oknum2 seperti pemda,benar tuju usut segera oknum seperti pemerintah daerah,positif
769,Cantika Belva,heleh d desa q orang yg emas nya ampe pundak mlh dpt pkh yg miskin gk pnya rmh dsb gk dpt ap,tidak tuju desa orang emas sampai pundak malah dapat program keluarga harap miskin tidak punya rumah tidak dapat,negatif
770,Dea Saputri,"mf ko. pkh aku bln kemaren engga ke luar, gimana ini pemerintah, kok lambat sih geraknya",program keluarga harap bulan kemaren engga luar gimana pemerintah lambat gerak,negatif
771,cinta Vusta,ah .....percuma anak saya masih sekolah tidak pernah dapat blt pkh atau pra kerja atau pulsa untuk anak sekolah itupun tidak dapat uh.... pusing karna saya banyak tunggakan di sekolah,percuma anak masih sekolah tidak pernah dapat bantu langsung tunai program keluarga harap pra kerja pulsa anak sekolah tidak dapat uh pusing banyak tunggak sekolah,negatif
772,lubis bisran,Saya selama 2021 belum dapat bantuan apapun. Sebelumnya dapat uang covid.,lama belum dapat bantu apa belum dapat uang covid,netral
773,JEA kontol,Omong kosong pemerintah,omong kosong pemerintah,negatif
774,minas kntol,Di minas riau belum dapat di jalan yos sudarso..... wkwkwk,mas riau belum dapat jalan yos sudarso,netral
775,Yumiko S Callysta,Maret ga dapat. katanya double sm April akhir maret. Tp ko blm ada smpe skrg.,maret tidak dapat kata dua kali lipat sama april akhir maret belum ada sampai sekarang,negatif
776,Fitri Fitriyah,"Maaf sampai saat ini blm cair jg yg 300,, saya sangat membutuhkan",sampai saat belum alir butuh,negatif
777,Devi Rajabsari,Knapa bulan ini kok blum keluar... Saya dri pertama covid 19 gk dpet sama sekali padahal dri RT lain mau orng yg berada atau gk itu dpet knapa saya gk ya memang blum ada anak tpie pkerjaan suami jga brkurang penghasilanya krena kenak psbb,bulan belum keluar pertama covid tidak dapat sama sekali rt mau orang ada tidak dapat tidak belum ada anak kerja suami kurang hasil kena psbb,negatif
778,Lilis HS,mf pa  dana apa pun yg di turun kan negara .hanya salah sasaran .yg punya di kasih yg miskin tidak. saya harap dari atas harus turun ke pedesaan trimakasih,bapak dana turun negara hanya salah sasar punya kasih miskin tidak harap atas harus turun desa terima kasih,negatif
779,Rustiyah Aja,Katanya bansos covid  tpi kami yg terpapar covid dan hrs isoman  gak dpt apa2 dri pemerintah ,kata bantu sosial covid papar covid harus istirahat tidak dapat pemerintah,negatif
780,kacer sekoci,Saya gak dpt pkh pdhl pnya ank sklh m anak balita mlah yg dpt pkh justru orang punya n kaya tu gmn y,tidak dapat program keluarga harap punya anak sekolah anak balita malah dapat program keluarga harap justru orang punya kaya bagaimana,negatif
781,BUL-BUL CHANNEL,"Saya hanya kasian sama para pedagang2 kecil, pedagang kaki lima, pedagang2 yg mangkal di sekolah2an, pedagang kantin, apalagi para pedagang yg lansia menjajakan dagangan dg gerobak dan sepeda ontel, berharap corona cepat selesai, penyebabnya karna bantuan2 yg tak tepat sasaran, dan percuma, selama keadaan seperti ini.",hanya kasihan sama para dagang kecil dagang kaki lima dagang mangkal sekolah dagang kantin para dagang lansia jaja dagang gerobak sepeda ontel harap corona cepat selesai sebab bantu tidak tepat sasar percuma lama ada seperti,negatif
782,Rasimah Teteh,"Keponakan saya dapat PKH  uang nya , 3 bulan cuma dapat 200000",keponakan dapat program keluarga harap uang bulan cuma dapat,negatif
783,Dimas Wandi,"Jangan sering bagi bagi uang lah, cari solusi lain gitu, serang covid nya",jangan sering bagi bagi uang cari solusi gitu serang covid,negatif
784,Jeje Juju,Sy nggak dapat kk nya nga terdaftar,tidak dapat kartu keluarga tidak daftar,netral
785,Anggoro Saja,Banyak jenis bantuan tapi gak ada satu pun yg pernah ke tempatku,banyak jenis bantu tidak ada satu pernah tempat,negatif
786,suyisno sukati,Bantuan sembako blm ada thn 2021,bantu sembako belum ada tahun,netral
787,Ami Jasngek,Gak semua dapat bansos gimana ini RT RW gak tanggung jawab,tidak semua dapat bantu sosial gimana rt rw tidak tanggung jawab,negatif
788,Nelis saadah,"Tolong di evaluasi yg penerima PKH..., kok kebanyakan orang 2 yg punya sedangkan yg miskin cuma nonton saja...",tolong evaluasi terima program keluarga harap banyak orang punya sedang miskin cuma nonton,negatif
789,GOES,Bagi pejabat publik bansos adalah proyek menggiurkan karena bisa di korupsi,bagi jabat publik bantu sosial proyek giur bisa korupsi,negatif
790,Dina Kusdiana,Mending lockdown karena bantuan tdk merata sedangkan dampak covid merata ... Ibarat kata kami sdh setengah mati,mending lockdown bantu tidak rata sedang dampak covid rata ibarat kata sudah tengah mati,positif
791,Sandiaji Official,RT RW suka ngambil sembako berlebihan buat pribadi. Gak yang diatas gak yang dibawah sama sama korupsi,rt rw suka ambil sembako lebih buat pribadi tidak atas tidak bawah sama sama korupsi,negatif
792,Mekar Permatha,Saya seorang janda nga pernah dpt bantuan apa2 saya anak saya pun gitu dpt tpi atm nya nga di kasih sampai berdebad di kelurahan ada atm nya tpi nga cair tpi saya cek di gugel masih aktif,orang janda tidak pernah dapat bantu anak gitu dapat kartu bantu tidak kasih sampai debat lurah ada kartu bantu tidak alir cek google masih aktif,negatif
793,Salim Salim,Ini sudah tidak adil... banyak pengusaha besi tua mendapatkan bansos berupa uang 300 rb... banyak warga miskin yg tdk mendapatkan....,sudah tidak adil banyak usaha besi tua dapat bantu sosial upa uang ribu banyak warga miskin tidak dapat,negatif
794,Ucup Kecos,Bohong bgt bnyak yg kaga dapet... malah skrg yg biasanya dapet bansos malah kga dapet. .bukannya makin baik malah tambah hancur,bohong banyak tidak dapat malah sekarang biasa dapat bantu sosial malah tidak dapat bukan makin baik malah tambah hancur,negatif
795,Arrafi Bima,"Hhhhhh,,  bansos,, aneh coba di cek daerah khusus nya cileungsi bogor gak sesua data,,,  rt/ rw gak bener,,",bantu sosial aneh coba cek daerah khusus cileungsi bogor tidak sesuai data rt rw tidak benar,negatif
796,Muhamad Padli,Saya gak pernah dapat. Blt..,tidak pernah dapat bantu langsung tunai,negatif
797,Heri Jaya,"ini pemerintah dana bantuannya gak jelas, sudah banyak di korupsi",pemerintah dana bantu tidak jelas sudah banyak korupsi,negatif
798,nenengelfrida Frida rsks,Pemerintah tlg lah bgmn sih mekanisme ny agar dpat bansos dr pemerintah jjr sy tdk prnah dpat bntuan apa pun se peser pun dr pemerintah sjk pandemi pdhl ank laki2 saya satu2 ny tulung punggung klrga sdh gk krja.. krna sy org tua tunggal dgn 3 org ank.. kmaren coba urus UMKM tp sampe skrg gk cair2 tlg lah pemerintah data dr kk dn ktp sy jls2 org tua tunggal tp kok iy gk prnh dapat apa2 gtu.. smntara tetangga yg nota bene mampu tdk sprti sya dapat itu... mohon perhatian dr pemerintah bener2 bantuan ny tepat sasaran lah pak... trimakasih..🙏🙏🙏,pemerintah tolong bagaimana mekanisme dapat bantu sosial pemerintah jujur tidak pernah dapat bantu sedikit pemerintah sejak pandemi anak laki satu tulang punggung keluarga sudah tidak kerja orang tua tunggal orang anak coba urus umkm sampai sekarang tidak alir tolong pemerintah data kartu keluarga ktp jelas orang tua tunggal iy tidak pernah dapat sementara tetangga nota asli mampu tidak seperti dapat mohon perhati pemerintah benar bantu tepat sasar pak trimakasih,negatif
799,Mimie Ahmad,"Maaf ya pak.
Tpi saya belum pernah dapat bantuan bansos tuh",pak belum pernah dapat bantu bantu sosial,negatif
800,Zain Lukman,"Pamong desa tu di periksa tepat sasaran gak, coba cek pasti banyak korupsinya",pamong desa periksa tepat sasar tidak coba cek pasti banyak korupsi,negatif
801,monex raching,"Gak butuh bantuan bos
Yang di butuh kan adalah NORMAL biar bisa kerja yang tenang.
MOSOK INDONESIA TERSERAH WAE",tidak butuh bantu butuh normal biar bisa kerja tenang masa indonesia serah,negatif
802,Sherly Deviana,"saya gak menyalahkan mereka semua yg jujur amanah ""yg baik serta orang kaya yg dermawan psti ada"" merekaa yg menjalankan amanah ini agar "" di beri kelancaran dan kesehatan serta rezeki yg melimpah dan  di di lindungin dri apa pun",tidak salah semua jujur amanah baik serta orang kaya dermawan pasti ada jalan amanah beri lancar sehat serta rezeki limpah lindung,netral
803,Sherly Deviana,"itu blt bansos uang  atau apa pun untuk siapa"" untuk orang orang kaya atau mampu ""atau semuanya""' masa yg bantuan aja dulu ukm "" ktanya buat pedagang kecil kenyantaanya"" bnyak orang lain manfaatkan situasi bgini"" warung orang lain yg jual bukan dia sendri tpi orang lain masa dapat 'masa sih gak tahu' kan ada dta nya"" knapa langsung di kasih"" kan  psti semua ada prosedurnya juga tata caranya",bantu langsung tunai bantu sosial uang siapa orang orang kaya mampu semua masa bantu dulu ukm kata buat dagang kecil kenyantaanya banyak orang manfaat situasi begini warung orang jual bukan sendiri orang masa dapat masa tidak tahu ada data langsung kasih pasti semua ada prosedur tata cara,negatif
804,Sherly Deviana,"uang tunai bansos juga sama aja"" yg saya mau hanya harus adil""'",uang tunai bantu sosial sama mau hanya harus adil,netral
805,Sherly Deviana,"giliran:  ada  perlu  tetangga'' sesuatu minta tlong minta di bantuin"" orang itu kan duit pemerintah"" kecuali duit pribadi dri kelurahan atau mna pun''",gilir ada perlu tetangga sesuatu minta tolong minta bantuin orang uang pemerintah kecuali uang pribadi lurah mana,negatif
806,Sherly Deviana,"punya tetangga pda diam diam aja gak di kasih tahu' takut iri kali sama saya"" apa yg d iriin sama saya gak punya apa apa'"" bnyak ko gak dapat teman saya ada di ciberko lebih parah"" ketahuan ada usahanya ukm gak prnah dapat juga yg lain lain",punya tetangga diam diam tidak kasih tahu takut iri sekali sama iri sama tidak punya banyak tidak dapat teman ada ciberko lebih parah tahu ada usaha ukm tidak pernah dapat,netral
